10	41	59
12	42	60
6	43	57
8	44	58
13	56	57
3	10	31
14	56	58
4	12	32
23	53	59
1	6	15
24	53	60
2	8	16
5	14	25
7	13	26
10	27	49
12	28	50
18	19	54
17	20	55
17	23	41
18	24	42
31	33	57
32	34	58
9	19	24
11	20	23
13	35	43
14	36	44
15	51	59
16	52	60
33	34	56
51	52	53
6	21	47
8	22	48
21	29	45
22	29	46
25	36	37
26	35	38
35	39	49
36	40	50
37	40	51
38	39	52
1	19	47
2	20	48
3	25	49
4	26	50
33	46	54
34	45	55
31	41	54
32	42	55
15	37	43
16	38	44
27	30	39
28	30	40
9	11	30
17	45	47
18	46	48
5	7	29
3	5	21
4	7	22
1	9	27
2	11	28
